record_id,date,shift,operator_id,operator_name,worker_status,vendor,equipment_type,equipment_id,production_unit,job_type,condition,condition_factor,shift_hours,break_hours,downtime_minutes,downtime_reason,productive_hours,longest_nonstop_hours,baseline_per_hour,target_production,actual_production,target_boxes,actual_boxes,achievement_percentage,utilization_percentage,validation_status,foreman_status,supervisor_status,final_status,safety_alert,data_quality_flag
TRX-0000001,2026-01-01,Shift 1,OPR-003,Operator 003,Outsourcing,Vendor A,Quay Crane,QC-08,box,Discharge,Normal,1.0,8,0.88,24.7,Yard congestion,6.71,2.2,28.0,187.8,150,187.8,150,79.9,83.9,REVIEW,Pending,Waiting Foreman,PENDING,SAFE,produksi_bawah_target
TRX-0000002,2026-01-01,Shift 1,OPR-015,Operator 015,Outsourcing,Vendor A,Head Truck,HT-04,move,Loading,Normal,1.0,8,0.71,59.5,Yard congestion,6.3,3.09,10.0,63.0,56,63.0,56,88.9,78.7,REVIEW,Pending,Waiting Foreman,PENDING,SAFE,produksi_bawah_target|utilisasi_rendah
TRX-0000003,2026-01-01,Shift 1,OPR-030,Operator 030,Outsourcing,Vendor A,Head Truck,HT-09,move,Loading,Normal,1.0,8,0.7,116.1,Tidak ada,7.08,2.49,10.0,70.8,64,70.8,64,90.4,88.5,REVIEW,Approved,Approved,PENDING,SAFE,downtime_tanpa_alasan
TRX-0000004,2026-01-01,Shift 1,OPR-008,Operator 008,Outsourcing,Vendor B,Forklift,FL-03,box,Discharge,Normal,1.0,8,0.77,33.5,System interruption,6.67,4.24,10.0,66.7,64,66.7,64,96.0,83.3,REVIEW,Pending,Waiting Foreman,PENDING,HARD ALERT,nonstop_lebih_4_jam
TRX-0000005,2026-01-01,Shift 1,OPR-007,Operator 007,Outsourcing,Vendor B,Head Truck,HT-10,move,Loading,Normal,1.0,8,0.75,30.1,Yard congestion,6.75,2.96,10.0,67.5,67,67.5,67,99.3,84.3,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000006,2026-01-01,Shift 1,OPR-018,Operator 018,Outsourcing,Vendor A,RTGC,RTG-10,box,Loading,Pembatasan alat,0.75,8,0.81,8.4,Tidak ada,7.05,2.49,20.0,105.8,103,105.8,103,97.4,88.1,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000007,2026-01-01,Shift 1,OPR-029,Operator 029,Outsourcing,Vendor A,Forklift,FL-06,box,Loading,Kepadatan tinggi,0.8,8,0.88,2.7,Tidak ada,7.08,3.04,10.0,56.6,54,56.6,54,95.3,88.5,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000008,2026-01-01,Shift 1,OPR-001,Operator 001,Outsourcing,Vendor B,RTGC,RTG-02,box,Discharge,Normal,1.0,8,0.71,7.3,Tidak ada,7.16,3.2,20.0,143.3,104,143.3,104,72.6,89.6,REVIEW,Approved,Approved,PENDING,SAFE,produksi_bawah_target
TRX-0000009,2026-01-01,Shift 1,OPR-028,Operator 028,Outsourcing,Vendor B,Head Truck,HT-03,move,Discharge,Normal,1.0,8,0.61,14.4,Yard congestion,7.15,2.44,10.0,71.5,70,71.5,70,97.9,89.4,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000010,2026-01-01,Shift 1,OPR-016,Operator 016,Outsourcing,Vendor C,Head Truck,HT-07,move,Loading,Normal,1.0,8,0.81,7.6,Tidak ada,7.06,2.66,10.0,70.6,67,70.6,67,94.9,88.3,PASS,Approved,Approved,FINAL,SAFE,OK
